time,open,high,low,close,Volume
2023-12-06,0.647,0.6671,0.6037,0.6221,3070403.3
2023-12-07,0.6222,0.72,0.6049,0.6721,8121561.19999999
2023-12-08,0.6721,0.7176,0.6689,0.704,9271745.09999999
2023-12-09,0.7036,0.7261,0.6619,0.6783,5001628.1
2023-12-10,0.6797,0.7154,0.6673,0.69,4671141.1
2023-12-11,0.6925,0.7153,0.6047,0.6289,9044082.4
2023-12-12,0.6284,0.6631,0.619,0.6614,3494548.90000001
2023-12-13,0.663,0.6662,0.6054,0.6545,4387635.8
2023-12-14,0.6524,0.6708,0.6288,0.655,2794438.8
2023-12-15,0.655,0.6552,0.6156,0.6166,3402697.3
2023-12-16,0.6192,0.6491,0.6,0.6323,1601475.6
2023-12-17,0.6329,0.6364,0.6038,0.6092,1819082.2
2023-12-18,0.6095,0.619,0.5633,0.6103,2676143.5
2023-12-19,0.6104,0.7375,0.6057,0.6794,13718966
2023-12-20,0.68,0.7477,0.6445,0.6877,12901524.4
2023-12-21,0.687,0.7182,0.6677,0.6891,3953322.1
2023-12-22,0.6891,0.7021,0.6565,0.6953,4917303.5
2023-12-23,0.6947,0.7599,0.6932,0.754,6027384.40000001
2023-12-24,0.7555,0.7623,0.7035,0.7189,4318273.6
2023-12-25,0.7186,0.8297,0.7102,0.8185,6010435.90000001
2023-12-26,0.8198,0.9127,0.7734,0.8833,11296962.2
2023-12-27,0.8878,0.9209,0.8204,0.8301,5991824.5
2023-12-28,0.8293,0.8645,0.7762,0.7968,7072651
2023-12-29,0.7976,0.862,0.7601,0.806,4435744.6
2023-12-30,0.805,0.8221,0.77,0.8078,3350675.5
2023-12-31,0.8075,0.8315,0.765,0.7751,2684859.6
2024-01-01,0.7744,0.8471,0.7561,0.8436,3365176.7
2024-01-02,0.8443,0.9319,0.7785,0.9061,9044670.19999999
2024-01-03,0.9051,0.9621,0.683,0.843,11311581.4
2024-01-04,0.8449,0.871,0.8059,0.8544,9102377.39999999
2024-01-05,0.8551,0.9037,0.7681,0.9,8225775.2
2024-01-06,0.9008,0.9044,0.8089,0.8319,9838302.90000001
2024-01-07,0.8318,0.8603,0.792,0.8009,5970769.7
2024-01-08,0.7973,0.895,0.7205,0.8613,9456297.3
2024-01-09,0.8621,0.8744,0.776,0.7969,5484183
2024-01-10,0.7971,0.8625,0.7613,0.8428,7878030.1
2024-01-11,0.843,1.1508,0.8307,1.0872,23353078.30000003
2024-01-12,1.0854,1.2257,1.0437,1.1683,31105510.50000001
2024-01-13,1.1689,1.3652,1.1169,1.2882,24761886.69999996
2024-01-14,1.2896,1.3531,1.2317,1.2517,8977622.29999999
2024-01-15,1.2535,1.4496,1.2494,1.3708,21437817.09999996
2024-01-16,1.3721,1.3982,1.2391,1.2706,12927422.60000001
2024-01-17,1.2708,1.33,1.2016,1.2941,15563247.60000002
2024-01-18,1.2932,1.347,1.1434,1.1582,14363411.10000002
2024-01-19,1.1582,1.1908,1.0836,1.1643,14456397.90000002
2024-01-20,1.1642,1.1651,1.0565,1.1005,10436039.59999998
2024-01-21,1.1004,1.128,1.0518,1.0597,5425124.50000001
2024-01-22,1.0602,1.1327,1.01,1.0719,15060275.40000001
2024-01-23,1.0702,1.2848,1.0142,1.1851,30686300.6
2024-01-24,1.1851,1.3163,1.1417,1.2925,24932188.09999998
2024-01-25,1.292,1.2934,1.1636,1.1775,15895215.69999999
2024-01-26,1.1766,1.4736,1.1568,1.4582,28576196.20000002
2024-01-27,1.4589,1.5,1.3725,1.3921,21197500.49999999
2024-01-28,1.3905,1.4884,1.31,1.3327,18079151.69999998
2024-01-29,1.333,1.5866,1.327,1.5629,36215904.69999994
2024-01-30,1.5637,1.65,1.5141,1.5452,27662887.19999999
2024-01-31,1.5442,1.6377,1.483,1.5174,27572583.49999999
2024-02-01,1.5177,1.5677,1.4306,1.5266,24928035.70000004
2024-02-02,1.5288,1.5442,1.4433,1.4621,15616738.49999999
2024-02-03,1.4625,1.4844,1.3873,1.4375,9309011.3
2024-02-04,1.4377,1.5396,1.4231,1.4641,11510727.50000001
2024-02-05,1.4641,1.6553,1.4316,1.5735,16768289.1
2024-02-06,1.5747,1.6142,1.5076,1.5178,12288071.50000003
2024-02-07,1.5182,1.5591,1.4838,1.5407,10899349.7
2024-02-08,1.5412,1.5868,1.5,1.5253,9011568.9
2024-02-09,1.5262,1.8079,1.5197,1.7625,14279735.7
2024-02-10,1.7627,1.814,1.7,1.7375,8499367.79999998
2024-02-11,1.7374,1.7987,1.6784,1.6941,8539193.00000002
2024-02-12,1.6963,1.8309,1.689,1.7621,8569814
2024-02-13,1.763,1.8825,1.7288,1.8593,14410680.39999999
2024-02-14,1.8604,1.973,1.814,1.9081,9533016.3
2024-02-15,1.9081,1.9483,1.8216,1.8651,9468022.6
2024-02-16,1.8651,1.8828,1.75,1.8091,7695686.70000001
2024-02-17,1.8093,1.8152,1.7022,1.7666,5043680.80000001
2024-02-18,1.7691,1.8166,1.7335,1.7999,6143554.3
2024-02-19,1.8005,1.8334,1.7365,1.7743,8341259.3
2024-02-20,1.7729,1.779,1.6124,1.7183,8723783.40000001
2024-02-21,1.7171,1.7216,1.6191,1.6941,6492854.5
2024-02-22,1.6942,1.7719,1.6388,1.7176,7635662.79999999
2024-02-23,1.7174,1.7463,1.5644,1.6013,14006630.79999999
2024-02-24,1.6012,1.6658,1.5526,1.6396,5183564.1
2024-02-25,1.6388,1.6535,1.6125,1.6452,2911898
2024-02-26,1.6452,1.718,1.5791,1.6721,7926226.1
2024-02-27,1.671,1.7054,1.581,1.6155,10776151.89999999
2024-02-28,1.6137,1.7201,1.37,1.5854,14029547.89999999
2024-02-29,1.5856,1.72,1.5665,1.6801,17286441.50000002
2024-03-01,1.6819,1.7458,1.6533,1.6915,8696481.4
2024-03-02,1.6908,1.71,1.5891,1.6206,9133582.50000001
2024-03-03,1.6231,1.6291,1.412,1.5595,9089573.3
2024-03-04,1.5598,1.5911,1.4333,1.4881,18866864.80000002
2024-03-05,1.4879,1.5862,1.16,1.4011,22452245.4
2024-03-06,1.4004,1.5094,1.36,1.476,17282429.89999998
2024-03-07,1.4757,1.62,1.4726,1.5818,13370910.9
2024-03-08,1.5822,1.6053,1.4513,1.5463,11506443.69999998
2024-03-09,1.5468,1.6749,1.5228,1.5869,8879795.49999999
2024-03-10,1.5873,1.6556,1.5181,1.5567,5675705.90000001
2024-03-11,1.5564,1.5935,1.4786,1.5725,13394309.90000001
2024-03-12,1.5731,1.6354,1.4307,1.6008,10956039.50000002
2024-03-13,1.6003,1.6985,1.5748,1.6222,9857839.89999999
2024-03-14,1.6223,1.6615,1.4703,1.5666,10932472.70000001
2024-03-15,1.567,1.5822,1.3397,1.4919,18879425.60000002
2024-03-16,1.4928,1.7167,1.4848,1.6333,27139155.4
2024-03-17,1.6331,1.6369,1.4389,1.62,12734219.80000002
2024-03-18,1.62,1.7523,1.5181,1.5232,16659411.89999999
2024-03-19,1.5207,1.7358,1.43,1.6471,25651555.40000001
2024-03-20,1.6452,1.7803,1.5013,1.7539,24885774.20000001
2024-03-21,1.7501,1.95,1.7407,1.8228,21080957.70000001
2024-03-22,1.8235,1.8324,1.685,1.7327,10880826.7
2024-03-23,1.732,1.7384,1.6423,1.6441,5467203.2
2024-03-24,1.6453,1.7828,1.6201,1.6793,5556983.7
2024-03-25,1.6794,1.7471,1.6571,1.7047,9127863.70000001
2024-03-26,1.7047,1.896,1.6966,1.8853,16237571.19999999
2024-03-27,1.8852,2.1816,1.8555,2.0776,28459950.19999997
2024-03-28,2.0774,2.164,1.9578,2.0228,10923803.29999999
2024-03-29,2.0222,2.1473,1.9006,1.9038,12066503.60000003
2024-03-30,1.9045,1.9561,1.8679,1.8809,4313155.39999999
2024-03-31,1.8812,1.9257,1.8647,1.9124,4085246
2024-04-01,1.9091,2.075,1.8032,1.9407,18564071.7
2024-04-02,1.9391,2.0095,1.7263,1.7336,14030038.29999997
2024-04-03,1.734,1.7673,1.6188,1.6682,9070459.4
