time,open,high,low,close
2022-11-23,12.4231,14.4516,12.3928,14.3353
2022-11-24,14.3353,14.932,13.8403,14.5899
2022-11-25,14.5899,14.5951,13.8961,14.019
2022-11-26,14.019,14.9465,13.9752,14.1637
2022-11-27,14.1612,14.4334,14.0513,14.1149
2022-11-28,14.1149,14.1599,12.7832,13.3332
2022-11-29,13.3307,13.9458,13.1508,13.3469
2022-11-30,13.3409,14.315,13.2312,14.153
2022-12-01,14.1634,14.1855,13.4048,13.5109
2022-12-02,13.5148,13.8135,13.3325,13.7138
2022-12-03,13.7138,13.763,13.2257,13.3025
2022-12-04,13.3025,13.75,13.2848,13.7154
2022-12-05,13.7129,14.168,13.595,13.821
2022-12-06,13.821,14.3784,13.816,14.2984
2022-12-07,14.2984,14.3275,13.4423,13.4997
2022-12-08,13.4997,13.7721,13.2732,13.6936
2022-12-09,13.6911,14.0187,13.5191,13.5793
2022-12-10,13.582,13.7223,13.5497,13.5675
2022-12-11,13.57,13.792,13.3898,13.4214
2022-12-12,13.4214,13.4844,12.8213,13.3227
2022-12-13,13.3199,14.1505,12.7841,13.8854
2022-12-14,13.8804,14.945,13.8115,14.1186
2022-12-15,14.1261,14.5213,13.8743,14.0438
2022-12-16,14.0413,14.1643,12.0214,12.2412
2022-12-17,12.2387,12.5426,11.955,12.5123
2022-12-18,12.5098,12.595,12.2708,12.3704
2022-12-19,12.3704,12.5798,11.6775,11.9377
2022-12-20,11.9377,12.4691,11.8362,12.2694
2022-12-21,12.2694,12.2809,11.9056,12.1424
2022-12-22,12.1424,12.1884,11.68,11.8122
2022-12-23,11.8085,12.0988,11.7199,11.7808
2022-12-24,11.7808,11.7808,11.1401,11.4498
2022-12-25,11.4499,11.5504,11.2442,11.3861
2022-12-26,11.3836,11.4825,11.08,11.3264
2022-12-27,11.3289,11.43,10.7117,11.0877
2022-12-28,11.0886,11.1195,9.4225,9.7542
2022-12-29,9.7567,10.8375,7.9975,9.6347
2022-12-30,9.6355,10.235,9.013,9.8994
2022-12-31,9.9019,10.1861,9.6497,9.9625
2023-01-01,9.9599,10.0676,9.6892,9.9916
2023-01-02,9.9866,11.897,9.8132,11.2853
2023-01-03,11.2828,13.8747,11.0079,13.3806
2023-01-04,13.3761,14.2062,12.8265,13.4312
2023-01-05,13.4318,13.868,12.9463,13.4254
2023-01-06,13.4227,13.5864,12.6999,13.5076
2023-01-07,13.5076,13.509,13.0267,13.0996
2023-01-08,13.097,14.8298,12.8582,14.4656
2023-01-09,14.4526,17.4675,14.2947,16.2546
2023-01-10,16.2555,16.7178,15.575,16.2068
2023-01-11,16.2043,16.6,15.301,16.3643
2023-01-12,16.3705,16.9812,15.5741,16.6001
2023-01-13,16.5974,18.5911,16.3354,18.2923
2023-01-14,18.2923,24.7302,18.2176,24.2618
2023-01-15,24.2584,24.9975,21.9817,22.8911
2023-01-16,22.8986,24.9861,22.3075,23.5896
2023-01-17,23.5871,23.9498,22.7585,22.8989
2023-01-18,22.9063,23.6232,20.3204,20.7918
2023-01-19,20.7893,21.869,20.4207,21.4141
2023-01-20,21.4166,25.8018,20.9348,25.5281
2023-01-21,25.5256,26.4964,24.385,24.6052
2023-01-22,24.6052,25.4248,23.5214,24.2206
2023-01-23,24.2231,24.9323,23.7299,24.332
2023-01-24,24.327,25.2155,22.381,22.7783
2023-01-25,22.7783,25.4037,22.2494,24.5066
2023-01-26,24.5029,25.2131,23.8157,24.3628
2023-01-27,24.3607,24.9469,23.323,24.4368
2023-01-28,24.4315,25.188,23.75,24.0172
2023-01-29,24.0171,26.7689,23.735,26.0894
2023-01-30,26.0844,26.305,23.2875,23.9705
2023-01-31,23.9705,24.4587,23.4978,23.9297
2023-02-01,23.9272,25.2041,22.5175,24.9951
2023-02-02,24.9951,26.1379,24.14,24.3145
2023-02-03,24.3089,25.0824,24.0426,24.6841
2023-02-04,24.6837,24.9367,24.2035,24.3451
2023-02-05,24.3426,24.4572,23.07,23.4783
2023-02-06,23.4758,23.725,22.5122,22.6795
2023-02-07,22.6782,23.9498,22.5555,23.8471
2023-02-08,23.8446,24.2151,22.8265,23.2132
2023-02-09,23.2107,23.3377,20.0108,20.4757
2023-02-10,20.4771,21.1981,19.7,20.119
2023-02-11,20.1165,20.9083,20.1091,20.8213
2023-02-12,20.8213,22.5225,20.6421,21.5007
2023-02-13,21.5091,21.5991,19.7618,20.7817
2023-02-14,20.783,22.3719,20.689,21.8445
2023-02-15,21.8444,23.9705,21.4654,23.8777
2023-02-16,23.8777,24.1418,22.2024,22.2351
2023-02-17,22.2379,23.5482,22.0297,23.1492
2023-02-18,23.1498,23.9194,22.9294,23.4745
2023-02-19,23.472,25.6125,23.2222,24.8345
2023-02-20,24.8295,27.0973,24.1246,26.2599
2023-02-21,26.2606,26.6026,24.5025,24.9808
2023-02-22,24.9808,25.2001,23.2316,24.1651
2023-02-23,24.1659,24.689,23.6017,23.9165
2023-02-24,23.9165,24.1276,22.495,23.0794
2023-02-25,23.0758,23.3212,21.464,22.3951
2023-02-26,22.3926,23.5445,22.2395,23.3126
2023-02-27,23.31,23.4195,22.3507,22.6988
2023-02-28,22.7013,22.8675,21.8687,21.9336
2023-03-01,21.9336,22.9028,21.7869,22.5182
2023-03-02,22.5182,22.6676,21.6764,21.991
2023-03-03,21.996,22.0104,20.4,21.42
2023-03-04,21.42,21.62,20.33,20.99
2023-03-05,20.99,21.69,20.85,20.98
2023-03-06,20.98,21.17,20.48,20.62
2023-03-07,20.62,20.95,19.7125,20.235
2023-03-08,20.24,20.3775,18.12,18.41
2023-03-09,18.41,18.76,16.72,17.34
2023-03-10,17.34,18.4,16.02,18.25
2023-03-11,18.24,19.07,17.1,18.24
2023-03-12,18.24,20.64,17.93,20.34
