time,open,high,low,close,Plot,Plot
2014-09-14,478.69,481.56,475.33,476.5,477.5526666666656,1
2014-09-15,477.12,480.3,474.77,474.77,477.3499999999989,1
2014-09-16,474.77,475.5,462.11,466.5,476.9433333333323,1
2014-09-17,466.65,467.75,451.6,458.3,475.79999999999893,1
2014-09-18,457.8,458.3,408.8,424.99,472.5233333333323,1
2014-09-19,425,431.92,381.5,393.3,466.09799999999893,1
2014-09-20,392.99,426.3,385.5,408.4,461.1979999999989,1
2014-09-21,408.4,414.14,392.23,399.21,455.63799999999895,1
2014-09-22,400.03,411.2,397.67,404.99,450.64533333333225,1
2014-09-23,404.23,447.11,392.15,438.65,448.4819999999989,1
2014-09-24,438.01,440.28,422,424.51,445.24533333333227,1
2014-09-25,424.51,426.97,402.33,409.86,440.69466666666557,1
2014-09-26,409.67,415,396.2,404.01,435.8033333333322,1
2014-09-27,404.03,409.04,393.2,399.8,430.83199999999886,1
2014-09-28,399.8,402.9,365,376.7,424.03266666666553,1
2014-09-29,375.93,386.56,368,373.64,417.17533333333216,1
2014-09-30,373.64,398.7,370,387,411.3239999999989,1
2014-10-01,386.93,391.18,377,383.63,405.79933333333224,1
2014-10-02,382.72,385.52,367.8,371.39,400.0053333333322,1
2014-10-03,371.39,376.86,355,359.74,395.65533333333224,1
2014-10-04,358.93,367.05,321.5,328.25,391.31866666666554,1
2014-10-05,327.36,346.69,275,319.9,385.41866666666556,1
2014-10-06,319.9,346.89,301,327.56,380.6419999999989,1
2014-10-07,327.59,340,317,335.97,376.0406666666656,1
2014-10-08,335.97,354.87,323.85,352.9,370.3239999999989,1
2014-10-09,353,387.13,347.14,364,366.28999999999894,1
2014-10-10,363.98,379.74,351.15,359.1,362.9059999999989,1
2014-10-11,359.1,368.5,351,360.66,360.01599999999894,1
2014-10-12,361.01,382.46,351.86,378.05,358.56599999999895,1
2014-10-13,378.05,399.89,368.24,391.2,359.53266666666565,1
2014-10-14,391.5,414.42,391.5,399,361.2233333333323,1
2014-10-15,399,402.68,384.7,394.2,361.7033333333323,1
2014-10-16,394.2,400,370.21,381.6,361.56799999999896,1
2014-10-17,381.55,386.8,372,382.48,362.3073333333323,1
2014-10-18,381.24,396,376.4,390.9,364.3846666666656,1
2014-10-19,390.92,394.5,383.5,388.02,368.3693333333323,1
2014-10-20,388.08,388.25,370.2,380.55,372.4126666666656,1
